"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.050604740E0,7.068775594E-3,1.182375848E-2,-9.574890137E-4
1.055476980E0,-1.015216112E-4,1.294353604E-2,-5.699157715E-3
1.060349219E0,-2.463862300E-3,-3.766559064E-3,-9.031295776E-4
1.065221459E0,-7.180474699E-3,-1.387968659E-3,3.852844238E-3
1.070093698E0,4.848174751E-3,3.345139325E-3,3.820419312E-3
1.074965990E0,1.257427037E-3,2.074494958E-3,-1.045608521E-2
1.079838230E0,1.435205340E-4,-8.667819202E-3,3.137588501E-4
1.084710469E0,7.304944098E-3,-6.248384714E-3,-4.436492920E-3
1.089582709E0,4.837527871E-3,-2.647515386E-3,1.535415649E-3
1.094454948E0,-3.515865654E-3,-1.097624004E-2,3.896713257E-3
1.099327240E0,-1.288488880E-2,-9.753674269E-3,-1.038169861E-2
1.104199480E0,-1.272290573E-2,8.121401072E-3,-3.171920776E-3
1.109071719E0,-1.736863703E-2,-7.317978889E-3,-6.707191467E-3
1.113943959E0,2.865783870E-3,-1.197405905E-2,1.658439636E-3
1.118816198E0,-9.075861424E-3,2.416364849E-3,-1.916885376E-3
1.123688438E0,1.694589853E-3,-1.423522830E-2,7.596015930E-3
1.128560730E0,-6.681084633E-4,7.238410413E-3,-7.781982422E-4
1.133432969E0,-6.367787719E-4,8.338131011E-3,-1.957893372E-3
1.138305209E0,1.003430784E-2,-8.333776146E-3,3.993988037E-3
1.143177448E0,8.759774268E-3,7.184721529E-3,-6.723403931E-3
1.148049688E0,3.978669643E-3,1.183167845E-2,-3.107070923E-3
1.152921928E0,-8.061528206E-4,1.410933584E-2,-6.641387939E-3
1.157794219E0,-1.265940070E-2,-4.998959601E-3,-6.494522095E-4
1.162666459E0,-3.133464605E-3,-6.098538637E-3,5.290031433E-3
1.167538698E0,1.710265875E-3,1.062214375E-3,7.620811462E-3
1.172410938E0,-5.400769413E-3,-4.879914224E-3,1.230525970E-2
1.177283178E0,-6.502553821E-3,7.004462183E-3,-1.153850555E-2
1.182155417E0,-4.868581891E-4,-4.966579378E-3,-7.572174072E-4
1.187027709E0,1.022635400E-2,-6.153538823E-3,4.348754883E-4
1.191899948E0,-5.279581994E-3,-8.517961949E-3,5.179405212E-3
1.196772188E0,1.883588731E-3,-1.084816456E-2,7.510185242E-3
1.201644428E0,1.367709786E-2,7.079578936E-3,9.821891785E-3
1.206516667E0,2.890504897E-3,1.058369875E-3,3.804206848E-3
1.211388907E0,-2.970870584E-3,1.296612620E-2,-9.765625000E-4
1.216261198E0,4.231236875E-3,-1.211212948E-2,-1.046466827E-2
1.221133438E0,5.306981504E-3,-6.059110165E-3,-4.442214966E-3
1.226005678E0,-7.798701525E-3,-4.804648459E-3,1.530647278E-3
1.230877917E0,1.817397773E-3,2.345599234E-3,-8.554458618E-4
1.235750157E0,5.287326872E-3,-3.577996045E-3,-8.487701416E-4
1.240622396E0,5.058422685E-4,7.137864828E-3,3.442764282E-4
1.245494688E0,-5.451634526E-3,-2.401590347E-3,8.650779724E-3
1.250366928E0,-5.893409252E-4,-4.767492414E-3,-3.291130066E-3
1.255239167E0,-2.976749092E-3,1.253545284E-3,-9.200096130E-3
1.260111407E0,5.909353495E-4,1.260183752E-3,-1.999855042E-3
1.264983646E0,-4.223637283E-3,7.201574743E-3,2.764701843E-3
1.269855886E0,-5.451291800E-3,-2.353124321E-3,-9.127616882E-3
1.274728178E0,-4.193399101E-3,4.747755826E-3,5.192756653E-3
