"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.936963550E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
6.961324480E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
6.985685940E-1,-9.926267667E-4,-7.635590737E-5,1.145338640E-3
7.010046880E-1,8.399150101E-4,-7.635590737E-5,5.344913807E-4
7.034408340E-1,1.450762269E-3,1.145338640E-3,1.145338640E-3
7.058769800E-1,-9.926267667E-4,5.344913807E-4,-6.872031372E-4
7.083130730E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
7.107492190E-1,1.450762269E-3,1.145338640E-3,5.344913807E-4
7.131853130E-1,-3.817795368E-4,-2.519744914E-3,5.344913807E-4
7.156214590E-1,2.061609412E-3,1.145338640E-3,-6.872031372E-4
7.180575530E-1,8.399150101E-4,5.344913807E-4,-1.298050396E-3
7.204936980E-1,8.399150101E-4,-7.635590737E-5,-6.872031372E-4
7.229298440E-1,8.399150101E-4,5.344913807E-4,-6.872031372E-4
7.253659380E-1,8.399150101E-4,1.145338640E-3,-7.635590737E-5
7.278020840E-1,2.290677221E-4,1.756185899E-3,-6.872031372E-4
7.302381780E-1,-2.214321401E-3,-1.908897655E-3,-1.908897655E-3
7.326743230E-1,-2.214321401E-3,-6.872031372E-4,1.145338640E-3
7.351104690E-1,-2.825168660E-3,-3.130592173E-3,1.756185899E-3
7.375465630E-1,-2.825168660E-3,-4.963133950E-3,-7.635590737E-5
7.399827090E-1,-9.926267667E-4,5.344913807E-4,-6.872031372E-4
7.424188030E-1,-9.926267667E-4,-7.635590737E-5,-1.298050396E-3
7.448549480E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
7.472910940E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
7.497271880E-1,-1.603474026E-3,-1.298050396E-3,5.344913807E-4
7.521633340E-1,-9.926267667E-4,-1.298050396E-3,-1.298050396E-3
7.545994280E-1,8.399150101E-4,1.145338640E-3,-7.635590737E-5
7.570355730E-1,8.399150101E-4,-6.872031372E-4,-1.298050396E-3
7.594716670E-1,-3.817795368E-4,-7.635590737E-5,-6.872031372E-4
7.619078130E-1,-3.817795368E-4,1.756185899E-3,-6.872031372E-4
7.643439590E-1,1.450762269E-3,2.367033157E-3,-7.635590737E-5
7.667800530E-1,1.450762269E-3,1.145338640E-3,-6.872031372E-4
7.692161980E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
7.716522920E-1,8.399150101E-4,2.367033157E-3,-1.298050396E-3
7.740884380E-1,-3.817795368E-4,5.344913807E-4,5.344913807E-4
7.765245840E-1,8.399150101E-4,5.344913807E-4,-1.908897655E-3
7.789606780E-1,8.399150101E-4,5.344913807E-4,-6.872031372E-4
7.813968230E-1,-9.926267667E-4,1.756185899E-3,1.145338640E-3
7.838329170E-1,-9.926267667E-4,1.145338640E-3,1.756185899E-3
7.862690630E-1,2.290677221E-4,5.344913807E-4,5.344913807E-4
7.887051570E-1,8.399150101E-4,5.344913807E-4,-1.298050396E-3
7.911413030E-1,1.450762269E-3,1.145338640E-3,-7.635590737E-5
7.935774480E-1,2.061609412E-3,5.344913807E-4,-7.635590737E-5
7.960135420E-1,1.450762269E-3,-7.635590737E-5,-6.872031372E-4
7.984496880E-1,8.399150101E-4,1.756185899E-3,-6.872031372E-4
8.008857820E-1,-3.817795368E-4,-7.635590737E-5,-6.872031372E-4
8.033219280E-1,2.290677221E-4,-1.298050396E-3,-6.872031372E-4
8.057580730E-1,2.061609412E-3,-6.872031372E-4,-7.635590737E-5
8.081941670E-1,2.672456671E-3,5.344913807E-4,-7.635590737E-5
8.106303130E-1,-9.926267667E-4,-1.298050396E-3,5.344913807E-4
8.130664070E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
8.155025530E-1,8.399150101E-4,1.756185899E-3,-7.635590737E-5
8.179386980E-1,-3.817795368E-4,-1.908897655E-3,1.145338640E-3
8.203747920E-1,2.290677221E-4,-1.298050396E-3,1.756185899E-3
8.228109380E-1,-9.926267667E-4,-6.872031372E-4,-6.872031372E-4
8.252470320E-1,8.399150101E-4,1.756185899E-3,5.344913807E-4
8.276831780E-1,-3.817795368E-4,-6.872031372E-4,1.145338640E-3
8.301192710E-1,-1.603474026E-3,-2.519744914E-3,-1.298050396E-3
8.325554170E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
8.349915630E-1,2.290677221E-4,1.145338640E-3,-6.872031372E-4
8.374276570E-1,-3.817795368E-4,-6.872031372E-4,-7.635590737E-5
8.398638030E-1,-3.817795368E-4,-2.519744914E-3,5.344913807E-4
8.422998960E-1,2.290677221E-4,-1.298050396E-3,-6.872031372E-4
8.447360420E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
8.471721880E-1,-3.817795368E-4,-1.298050396E-3,5.344913807E-4
8.496082820E-1,-1.603474026E-3,-1.908897655E-3,-7.635590737E-5
8.520444280E-1,-9.926267667E-4,-7.635590737E-5,-6.872031372E-4
8.544805210E-1,-3.817795368E-4,1.145338640E-3,-1.298050396E-3
8.569166670E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
8.593528130E-1,-3.817795368E-4,-1.298050396E-3,5.344913807E-4
8.617889070E-1,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
8.642250530E-1,-3.817795368E-4,-6.872031372E-4,-7.635590737E-5
8.666611460E-1,2.061609412E-3,5.344913807E-4,-7.635590737E-5
8.690972920E-1,1.450762269E-3,1.756185899E-3,5.344913807E-4
8.715333860E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
8.739695320E-1,-3.817795368E-4,5.344913807E-4,-1.298050396E-3
8.764056780E-1,2.290677221E-4,-1.298050396E-3,-6.872031372E-4
8.788417710E-1,1.450762269E-3,5.344913807E-4,-1.298050396E-3
8.812779170E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
8.837140110E-1,1.450762269E-3,5.344913807E-4,-7.635590737E-5
8.861501570E-1,-9.926267667E-4,-7.635590737E-5,-7.635590737E-5
8.885863030E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
8.910223960E-1,2.290677221E-4,-6.872031372E-4,1.756185899E-3
8.934585420E-1,2.290677221E-4,-7.635590737E-5,-1.298050396E-3
8.958946360E-1,-3.817795368E-4,-6.872031372E-4,-6.872031372E-4
8.983307820E-1,-3.817795368E-4,1.756185899E-3,-6.872031372E-4
9.007669280E-1,-3.817795368E-4,5.344913807E-4,5.344913807E-4
